Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2015-08-16,155.0,156.21,154.58,155.75,3226434.0,0.0,1.0,137.94950896409597,139.02640513084796,137.5757102946449,138.6170065881158,3226434.0
2015-08-09,155.89,156.25,154.335,155.12,3794897.0,0.0,1.0,138.74160614459947,139.06200500412902,137.3576610707984,138.05630858393914,3794897.0
2015-08-02,161.4,162.06,160.63,161.99,3580226.0,0.0,1.0,142.46074604666066,143.0432992832827,141.78110060393496,142.981513333944,3580226.0
2015-07-26,161.29,161.93,159.41,159.75,3777631.0,0.0,1.0,142.363653840557,142.92855394879655,140.7042597726033,141.0043629551056,3777631.0
2015-07-19,170.33,172.52,170.1,172.51,4356391.0,0.0,1.0,150.3428678694406,152.2758854273228,150.139856893042,152.26705886313152,4356391.0
2015-07-12,165.66,167.4,165.515,166.95,4538349.0,0.0,1.0,146.22086239213016,147.75668456140642,146.09287721135712,147.35948917280047,4538349.0
2015-07-05,165.05,165.32,164.42,165.09,2852696.0,0.0,1.0,145.68244197646433,145.92075920962787,145.126368432416,145.71774823322932,2852696.0
2015-06-28,166.23,166.8116,165.23,165.46,8945485.0,0.0,1.0,146.72397655103097,147.2373295243937,145.84132013190668,146.0443311083053,8945485.0
2015-06-21,167.62,168.42,166.77,166.99,7072020.0,0.0,1.0,147.95086897361375,148.65699410891318,147.2006110173581,147.39479542956548,7072020.0
2015-06-14,168.23,168.3,166.69,166.99,3065085.0,0.0,1.0,148.48928938927958,148.5510753386183,147.12999850382818,147.39479542956548,3065085.0
2015-06-07,168.25,168.9103,167.2,167.4,3100505.0,0.0,1.0,148.50694251766205,149.08976055120985,147.58015327758156,147.75668456140642,3100505.0
2015-05-31,171.35,171.35,169.65,169.65,4091431.0,0.0,1.0,151.24317741694736,151.24317741694736,149.7426615044361,149.7426615044361,4091431.0
2015-05-24,173.04,173.39,172.19,172.22,2849692.0,0.0,1.0,152.7348667652674,153.04379651196092,151.98460880901177,152.0110885015855,2849692.0
2015-05-17,173.91,174.41,172.6,173.26,2916115.0,0.0,1.0,153.50277784990556,153.94410605946769,152.34649794085271,152.92905117747475,2916115.0
2015-05-10,172.94,173.33,172.24,172.68,3092599.0,0.0,1.0,152.646601123355,152.9908371268135,152.02874162996798,152.41711045438268,3092599.0
2015-05-03,173.2,174.0,172.42,173.67,3312052.0,0.0,1.0,151.71624983533852,152.41701773296134,151.03300113515627,152.1279509751919,3312052.0
2015-04-26,170.23,170.85,168.74,169.78,3888439.0,0.0,1.0,149.11464901541385,149.65774413607153,147.80946880609136,148.720467073001,3888439.0
2015-04-19,161.75,161.86,160.03,160.67,4308880.0,0.0,1.0,141.68650930061204,141.7828648865352,140.179858320723,140.74047263882125,4308880.0
2015-04-12,162.34,163.33,161.25,162.86,2515603.0,0.0,1.0,142.20332562510887,143.07052589841712,141.2485293645978,142.65882475856372,2515603.0
2015-04-05,159.52,162.54,158.89,160.45,4671578.0,0.0,1.0,139.73311878598847,142.37851759951457,139.18126406661048,140.54776146697498,4671578.0
2015-03-29,160.79,160.9,159.23,160.4,3477826.0,0.0,1.0,140.84558782346468,140.94194340938782,139.4790904231002,140.50396347337357,3477826.0
2015-03-22,160.95,163.0,160.35,162.88,9006417.0,0.0,1.0,140.98574140298922,142.78145914064768,140.46016547977212,142.67634395600427,9006417.0
2015-03-15,157.46,157.52,153.4,154.28,6063970.0,0.0,1.0,137.92864144960973,137.98119904193143,134.37224436917396,135.14308905655906,6063970.0
2015-03-08,160.19,161.44,158.06,158.5,4540174.0,0.0,1.0,140.32001190024758,141.41496174028322,138.45421737282683,138.83963971651937,4540174.0
2015-03-01,161.05,162.29,160.16,161.94,4410037.0,0.0,1.0,141.0733373901921,142.15952763150744,140.2937331040867,141.85294167629746,4410037.0
2015-02-22,163.64,164.34,162.09,163.65,3352781.0,0.0,1.0,143.34207345874592,143.9552453691659,141.98433565710175,143.35083305746622,3352781.0
2015-02-15,158.78,160.8,158.64,160.4,3706919.0,0.0,1.0,139.08490848068737,140.85434742218496,138.96227409860336,140.50396347337357,3706919.0
2015-02-08,157.34,158.08,156.23,156.72,3256440.0,1.1,1.0,137.82352626496632,138.4717365702674,136.85121080701464,137.28043114430864,3256440.0
2015-02-01,153.91,155.24,153.04,153.31,6563447.0,0.0,1.0,133.879300199091,135.03620663314203,133.12252681741853,133.35738752207553,6563447.0
2015-01-25,155.03,157.6,154.89,155.87,4834447.0,0.0,1.0,134.85353719618658,137.0890631627363,134.73175757154962,135.5842149440083,4834447.0
2015-01-18,153.82,157.63,153.82,157.14,5756041.0,0.0,1.0,133.80101329753867,137.11515879658705,133.80101329753867,136.68893011035775,5756041.0
2015-01-11,158.42,160.34,157.25,159.11,4472701.0,0.0,1.0,137.80234382132411,139.47246438777373,136.78461410114392,138.40254339989195,4472701.0
2015-01-04,161.31,163.31,161.0,162.06,5525341.0,0.0,1.0,140.31622321561542,142.0559321390004,140.04656833249075,140.96861406188478,5525341.0
2014-12-28,162.27,163.09,162.01,162.34,1912310.0,0.0,1.0,141.15128349884023,141.86456415742805,140.92512133880015,141.2121733111587,1912310.0
2014-12-21,157.49,160.41,157.49,158.51,8864850.0,0.0,1.0,136.99337917195012,139.5333542000922,136.99337917195012,137.88063072287645,8864850.0
2014-12-14,160.25,160.5,155.33,155.38,8611249.0,0.0,1.0,139.3941774862214,139.6116411016445,135.11449353469436,135.15798625777896,8611249.0
2014-12-07,163.61,164.5,162.91,163.27,3013500.0,0.0,1.0,142.31688847750817,143.09105894841446,141.7079903543234,142.0211379605327,3013500.0
2014-11-30,162.75,163.37,161.44,162.17,2405512.0,0.0,1.0,141.56881364045262,142.10812340670196,140.42930429563543,141.06429805267095,2405512.0
2014-11-23,161.83,161.95,160.75,160.92,4076868.0,0.0,1.0,140.76854753569552,140.8729300710986,139.82910471706762,139.97697997555534,4076868.0
2014-11-16,162.1,164.49,161.69,164.16,4976697.0,0.0,1.0,141.00340824035248,143.08236040379754,140.64676791105856,142.79530843143903,4976697.0
2014-11-09,161.42,162.2069,160.85,162.07,3494803.0,0.0,1.0,140.4119072064016,141.09639568230742,139.91609016323687,140.9773126065017,3494803.0
2014-11-02,165.48,165.59,163.6165,164.4,5818375.0,0.0,1.0,142.96948908198922,143.06452560482595,141.35948398829643,142.03640322141064,5818375.0
2014-10-26,162.08,162.44,161.45,162.08,6652321.0,0.0,1.0,140.03199655794546,140.34302517813833,139.48769647260792,140.03199655794546,6652321.0
2014-10-19,181.24,182.84,180.22,182.05,4354442.0,0.0,1.0,156.58563089932156,157.96798032240096,155.7043831421084,157.2854452947555,4354442.0
2014-10-12,185.86,187.74,185.1,185.93,5090177.0,0.0,1.0,160.5771648584634,162.2014254305817,159.92054888250064,160.6376426457231,5090177.0
2014-10-05,188.11,189.37,187.56,188.67,3071521.0,0.0,1.0,162.52109373466882,163.60969390534385,162.04591112048527,163.0049160327466,3071521.0
2014-09-28,188.93,190.33,188.61,190.06,2494024.0,0.0,1.0,163.22954781399702,164.43910355919152,162.95307792938115,164.20583209404685,2494024.0
2014-09-21,194.54,195.0,193.19,194.0,8852000.0,0.0,1.0,168.07641047866923,168.47383593780458,166.91005315294598,167.60986754837992,8852000.0
2014-09-14,191.47,191.6,190.57,191.28,2901000.0,0.0,1.0,165.4240275231356,165.5363434137608,164.64645597265343,165.25987352914493,2901000.0
2014-09-07,190.53,191.75,190.09,191.2,2260200.0,0.0,1.0,164.61189723707645,165.6659386721745,164.2317511457296,165.19075605799094,2260200.0
2014-08-31,192.28,192.75,191.14,192.3,2909400.0,0.0,1.0,166.12384191856955,166.52990706159915,165.13891795462544,166.14112128635804,2909400.0
2014-08-24,190.77,191.88,190.29,190.41,1940300.0,0.0,1.0,164.81924965053835,165.7782545627997,164.40454482361451,164.50822103034548,1940300.0
2014-08-17,187.85,188.88,186.79,187.38,2814800.0,0.0,1.0,162.2964619534184,163.1863493945258,161.38065546062828,161.8903968103888,2814800.0
2014-08-10,184.4,186.67,183.58,186.63,2781500.0,0.0,1.0,159.31577100990341,161.2769792538973,158.6073169305752,161.24242051832033,2781500.0
2014-08-03,190.5,191.5,188.86,189.15,5181100.0,0.0,1.0,163.61818764707152,164.47707577120312,162.20961112349568,162.45868867949383,5181100.0
2014-07-27,195.3,195.9,193.7901,194.4,3376400.0,0.0,1.0,167.74085064290324,168.2561835173822,166.4440154642769,166.9678513311848,3376400.0
2014-07-20,191.96,193.44,190.0,192.5,8166400.0,0.0,1.0,164.87216430830367,166.14331873201843,163.1887435850057,165.33596389533471,8166400.0
2014-07-13,187.73,188.35,186.705,188.0,2402500.0,0.0,1.0,161.23906754322695,161.77157818018856,160.35870721599207,161.4709673367425,2402500.0
